Title,Genre,Premiere Date,Language,Country,IMDb Rating,IMDb Votes
7SEEDS,Science fiction,"June 28, 2019",Japanese,Japan,6.3,"1,567"
Knights of the Zodiac: Saint Seiya,Action,"July 19, 2019",Japanese,Japan,4.6,"1,995"
Cannon Busters,Fantasy,"August 15, 2019",English,"United States, Japan",6.7,"1,273"
Seis Manos,Supernatural/Action,"October 3, 2019",English,United States,7.1,"1,750"
Dino Girl Gauko,Children's series,"November 22, 2019",English,"United States, Japan",7.4,85
Levius,Science fiction/Action,"November 28, 2019",N/A,Japan,7.0,594
The Disastrous Life of Saiki K.: Reawakened,Supernatural comedy,"December 30, 2019",Japanese,Japan,7.9,"1,922"
Cagaster of an Insect Cage,Science fiction,"February 6, 2020",N/A,Japan,6.1,710
Ghost in the Shell: SAC_2045,Science fiction,"April 23, 2020","Japanese, English","Japan, United States",6.3,"2,723"
Japan Sinks: 2020,Disaster,"July 9, 2020",Japanese,Japan,6.4,"3,249"
Transformers: War for Cybertron Trilogy: Siege,Science fiction,"July 30, 2020",,,,
The Idhun Chronicles,Fantasy/Action,"September 10, 2020",Spanish,Spain,5.4,613
Dragon's Dogma,Dark fantasy/Adventure,"September 17, 2020",N/A,N/A,6.3,"3,766"
Transformers: War for Cybertron Trilogy: Earthrise,Science fiction,"December 30, 2020",,,,
High-Rise Invasion,Action horror,"February 25, 2021",Japanese,Japan,6.5,"3,480"
Pacific Rim: The Black,Mecha/Kaiju,"March 4, 2021",English,"United States, Australia",7.1,"5,646"
Yasuke,Historical fantasy/Action,"April 29, 2021","Japanese, English","Japan, United States",6.2,"5,595"
Eden,Science fiction,"May 27, 2021","English, Chinese, Spanish",United States,6.6,"9,025"
Trese,Dark fantasy/Crime,"June 10, 2021","Filipino, English, Japanese","United States, Singapore, Malaysia, Indonesia, Philippines",7.0,"4,351"
Resident Evil: Infinite Darkness,CG animation/Horror,"July 8, 2021","Japanese, English","Japan, United States",5.7,"11,272"
Transformers: War for Cybertron Trilogy: Kingdom,Science fiction,"July 29, 2021",,,,
Super Crooks,Crime,"November 25, 2021",Japanese,Japan,7.1,"2,806"
The Orbital Children,Science fiction adventure,"January 28, 2022",Japanese,Japan,6.4,726
Kotaro Lives Alone,Comedy,"March 10, 2022",Japanese,Japan,8.4,"3,384"
Thermae Romae Novae,Comedy,"March 28, 2022",Japanese,Japan,7.0,"1,016"
Rilakkuma's Theme Park Adventure,Slice of life,"August 25, 2022",Japanese,Japan,6.6,211
Cyberpunk: Edgerunners,Science fiction,"September 13, 2022","Japanese, English","Poland, United States",8.3,"56,071"
Turbo Fast,Family film,"December 24, 2013",English,United States,6.4,655
VeggieTales in the House,Family film,"November 26, 2014",N/A,United States,4.0,329
All Hail King Julien,Family film,"December 19, 2014",English,United States,7.1,"2,185"
The Adventures of Puss in Boots,Family film,"January 16, 2015",English,United States,6.6,"2,130"
Ever After High,Family film,"February 6, 2015",English,"Canada, United States",7.7,"1,330"
Dragons: Race to the Edge,Family film,"June 26, 2015",English,United States,8.2,"7,010"
Dinotrux,Family film,"August 14, 2015","English, French","United States, Canada",6.8,491
The Mr. Peabody & Sherman Show,Family film,"October 9, 2015",English,United States,5.5,490
Popples,Family film,"October 30, 2015","English, French, Japanese","United States, France, Japan",6.3,238
Care Bears and Cousins,Family film,"November 6, 2015",English,United States,6.8,86
Dawn of the Croods,Family film,"December 24, 2015",English,United States,5.8,773
Lego Bionicle: The Journey to One,Family film,"March 4, 2016",English,United States,5.5,199
Lego Friends: The Power of Friendship,Family film,"March 4, 2016","Danish, English, Mandarin, German, Spanish, French",Denmark,7.1,57
Kong: King of the Apes,Family film,"April 15, 2016","English, Spanish, French, German, Mandarin","United States, Japan, Canada",5.7,347
Voltron: Legendary Defender,Family film,"June 10, 2016","English, Italian",United States,8.1,"9,196"
Justin Time GO!,Family film,"June 24, 2016",,,,
Word Party,Family film,"July 8, 2016",English,United States,5.6,366
Home: Adventures with Tip & Oh,Family film,"July 29, 2016",English,United States,6.2,640
Ask the StoryBots,Family film,"August 12, 2016",English,United States,8.5,949
Kulipari: An Army of Frogs,Family film,"September 2, 2016",English,United States,6.9,266
Skylanders Academy,Family film,"October 28, 2016","English, Spanish, German, French, Mandarin, Korean","South Korea, United States",6.7,840
World of Winx,Family film,"November 4, 2016",English,"Italy, United States",6.7,765
Luna Petunia,Family film,"December 9, 2016",English,United States,6.4,56
Trollhunters: Tales of Arcadia,Family film,"December 23, 2016",English,"United States, Mexico",8.4,"17,670"
Edgar Rice Burroughs' Tarzan and Jane,Family film,"January 6, 2017",,,,
We're Lalaloopsy,Family film,"January 10, 2017",English,United States,6.5,34
VeggieTales in the City,Family film,"February 24, 2017",English,United States,4.6,128
Legend Quest,Family film,"February 24, 2017",Spanish,Mexico,7.3,491
Buddy Thunderstruck,Family film,"March 10, 2017",English,United States,7.8,519
Spirit Riding Free,Family film,"May 5, 2017",English,United States,6.5,"1,068"
All Hail King Julien: Exiled,Family film,"May 12, 2017",English,United States,7.5,617
True and the Rainbow Kingdom,Family film,"August 11, 2017",English,"United States, Canada",7.2,480
Lego Elves: Secrets of Elvendale,Family film,"September 1, 2017",English,United States,6.6,189
The Magic School Bus Rides Again,Family film,"September 29, 2017",English,"United States, Canada",6.3,865
Super Monsters,Family film,"October 13, 2017",English,"Canada, United States",6.4,438
Dinotrux Supercharged,Family film,"November 10, 2017",English,"United States, Canada",7.5,102
Stretch Armstrong and the Flex Fighters,Family film,"November 17, 2017",,,,
Trolls: The Beat Goes On!,Family film,"January 19, 2018",English,United States,6.0,842
Llama Llama,Family film,"January 26, 2018",N/A,United States,6.3,277
Luna Petunia: Return to Amazia,Family film,"February 2, 2018",English,"Canada, United States",5.1,48
The Boss Baby: Back in Business,Family film,"April 6, 2018","English, Mandarin, French, Cantonese, Spanish",United States,6.5,"3,987"
Spy Kids: Mission Critical,Family film,"April 20, 2018",English,"United States, Canada",4.8,412
The Hollow,Family film,"June 8, 2018",English,Canada,7.2,"4,587"
True: Magical Friends,Family film,"June 15, 2018",,,,
True: Wonderful Wishes,Family film,"June 15, 2018",,,,
Harvey Girls Forever!,Family film,"June 29, 2018",English,United States,6.9,275
The Epic Tales of Captain Underpants,Family film,"July 13, 2018",English,United States,6.7,"1,023"
Cupcake & Dino: General Services,Family film,"July 27, 2018","English, Portuguese","Canada, Brazil",7.6,803
Larva Island,Family film,"October 19, 2018",None,South Korea,6.6,462
She-Ra and the Princesses of Power,Family film,"November 13, 2018",English,United States,8.0,"17,006"
Kulipari: Dream Walker,Family film,"November 20, 2018",N/A,N/A,7.5,101
Motown Magic,Family film,"November 20, 2018",English,"Australia, United States",8.0,303
3Below: Tales of Arcadia,Family film,"December 21, 2018",English,"United States, Mexico, Canada",7.7,"6,607"
Pinky Malinky,Family film,"January 1, 2019",English,"United States, Canada",5.7,"1,144"
Carmen Sandiego,Family film,"January 18, 2019",English,"United States, Canada",7.9,"6,249"
YooHoo to the Rescue,Family film,"March 15, 2019",N/A,South Korea,6.7,60
Charlie's Colorforms City,Family film,"March 22, 2019",English,United States,6.6,157
