Title,Genre,Premiere Date
Ray,Anthology series,"June 25, 2021"
Feels Like Ishq,Anthology series,"July 23, 2021"
Call My Agent: Bollywood,Workplace dramedy,"October 29, 2021"
Aranyak,Crime thriller,"December 10, 2021"
The Fame Game,Suspense family drama,"February 25, 2022"
Mai: A Mother's Rage,Crime thriller,"April 15, 2022"
Katla,Supernatural drama,"June 17, 2021"
Suburra: Blood on Rome,Crime drama,"October 6, 2017"
Baby,Drama,"November 30, 2018"
Luna Nera,Historical drama,"January 31, 2020"
Summertime,Teen drama,"April 29, 2020"
Curon,Supernatural drama,"June 10, 2020"
Zero,Superhero,"April 21, 2021"
Generation 56k,Romantic comedy,"July 1, 2021"
Luna Park,Drama,"September 30, 2021"
An Astrological Guide for Broken Hearts,Romantic comedy,"October 27, 2021"
Framed! A Sicilian Murder Mystery,Comedy,"January 1, 2022"
"Devotion, a Story of Love and Desire",Romantic drama,"February 14, 2022"
Hibana: Spark,Drama,"June 2, 2016"
Midnight Diner: Tokyo Stories,Slice of life/Anthology series,"October 21, 2016"
Samurai Gourmet,Slice of life comedy,"March 17, 2017"
Blazing Transfer Students,Action comedy,"November 10, 2017"
Erased,Supernatural mystery,"December 15, 2017"
Jimmy: The True Story of a True Idiot,Comedy,"July 20, 2018"
Switched,Science fiction,"August 1, 2018"
The Naked Director,Period comedy drama,"August 8, 2019"
Followers,Drama,"February 27, 2020"
The Forest of Love: Deep Cut,Drama,"April 30, 2020"
Ju-On: Origins,Horror,"July 3, 2020"
Creator's File: Gold,Mockumentary,"June 3, 2021"
The Journalist,Drama,"January 13, 2022"
Fishbowl Wives,Romantic drama,"February 14, 2022"
My Only Love Song,Comedy,"June 9, 2017"
YG Future Strategy Office,Comedy,"October 5, 2018"
Kingdom,Period horror thriller,"January 25, 2019"
Persona,Anthology,"April 11, 2019"
My First First Love,Romantic comedy,"April 18, 2019"
Love Alarm,Romantic dramedy,"August 22, 2019"
My Holo Love,Science fiction romance,"February 7, 2020"
Extracurricular,Teen/crime drama,"April 29, 2020"
The School Nurse Files,Fantasy drama,"September 25, 2020"
Move to Heaven,Melodrama,"May 14, 2021"
So Not Worth It,Sitcom,"June 18, 2021"
My Name,Crime thriller,"October 15, 2021"
The Silent Sea,Science fiction thriller,"December 24, 2021"
Juvenile Justice,Legal drama,"February 25, 2022"
The Sound of Magic,Musical/Romantic fantasy,"May 6, 2022"
Nowhere Man,Thriller,"October 31, 2019"
Triad Princess,Crime drama/romance,"December 6, 2019"
The Ghost Bride,Mystery drama,"January 23, 2020"
More than Blue: The Series,Romantic drama,"October 22, 2021"
Light the Night,Suspense thriller/Melodrama,"November 26, 2021"
"Mom, Don't Do That!",Romantic dramedy,"July 15, 2022"
Shards of Her,Suspense thriller,"October 28, 2022"
Home for Christmas,Comedy drama,"December 5, 2019"
Bloodride,Horror anthology,"March 13, 2020"
Post Mortem: No One Dies in Skarnes,Supernatural drama,"August 25, 2021"
The Lørenskog Disappearance,Crime drama,"September 14, 2022"
A Storm for Christmas,Comedy drama,"December 16, 2022"
1983,Spy thriller,"November 30, 2018"
The Woods,Thriller,"June 12, 2020"
Open Your Eyes,Thriller,"August 25, 2021"
Hold Tight,Thriller,"April 22, 2022"
Cracow Monsters,Fantasy drama,"March 18, 2022"
Queen,Drama,"June 23, 2022"
Family Secrets,Comedy,"August 31, 2022"
The Green Glove Gang,Dark comedy,"October 19, 2022"
3%,Science fiction,"November 25, 2016"
The Mechanism,Crime drama,"March 23, 2018"
Samantha!,Comedy,"July 6, 2018"
Girls from Ipanema,Period drama,"March 22, 2019"
The Chosen One,Thriller drama,"June 28, 2019"
Brotherhood,Crime drama,"October 25, 2019"
Nobody's Looking,Comedy drama,"November 22, 2019"
Omniscient,Science fiction,"January 29, 2020"
Reality Z,Zombie horror,"June 10, 2020"
Kissing Game,Thriller,"July 17, 2020"
Glória,Thriller,"November 5, 2021"
Summer Heat,Drama,"January 21, 2022"
Maldivas,Comedy drama,"June 15, 2022"
Unsuspicious,Comedy,"August 17, 2022"
Only for Love,Musical drama,"September 21, 2022"
Lady Voyeur,Psychological thriller,"January 1, 2023"
